"","Week","date","DateYYMMDD","Month","MonthN","Year","Season","Group","IntPhase","Delay1","Delay2","Location","Income","Community","HouseID","UniqueID","daystrapping","Placement","Indoor","Outdoor","AEAfemale","AWND","PRCP","TAVG","TMAX","TMIN","Cov200m","200mHouses","CovRate200","Participation"
"1",30,2017-07-24,170724,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M13-Mesquite","MM03","MM03IN170724",7,"IN",1,0,0,"2.9",0,30,37.2,22.8,0,0,0,0.81
"2",30,2017-07-24,170724,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M13-Mesquite","MM03","MM03OUT170724",7,"OUT",0,1,10,"2.9",0,30,37.2,22.8,0,0,0,0.81
"3",30,2017-07-24,170724,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M13-Mesquite","MM04","MM04IN170724",7,"IN",1,0,0,"2.9",0,30,37.2,22.8,0,0,0,0.81
"4",30,2017-07-24,170724,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M13-Mesquite","MM04","MM04OUT170724",7,"OUT",0,1,8,"2.9",0,30,37.2,22.8,0,0,0,0.81
"5",30,2017-07-24,170724,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M13-Mesquite","MM05","MM05IN170724",7,"IN",1,0,0,"2.9",0,30,37.2,22.8,0,0,0,0.81
"6",30,2017-07-24,170724,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M13-Mesquite","MM05","MM05OUT170724",7,"OUT",0,1,0,"2.9",0,30,37.2,22.8,0,0,0,0.81
"7",30,2017-07-24,170724,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Progreso","Low","P2-Cameron","PE01","PE01IN170724",7,"IN",1,0,0,"2.9",0,30,37.2,22.8,0,0,0,0.47
"8",30,2017-07-24,170724,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Progreso","Low","P2-Cameron","PE01","PE01OUT170724",7,"OUT",0,1,0,"2.9",0,30,37.2,22.8,0,0,0,0.47
"9",30,2017-07-24,170724,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","La Feria","Middle","LF10-La Bonita","LFLB03","LFLB03IN170724",10,"IN",1,0,0,"4.7",0,30.85,36.7,25,0,0,0,0.63
"10",30,2017-07-24,170724,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","La Feria","Middle","LF10-La Bonita","LFLB03","LFLB03OUT170724",10,"OUT",0,1,14,"4.7",0,30.85,36.7,25,0,0,0,0.63
